"rawname","name","rawaffiliation","affiliation","stance"
"James Henle","james henle","Smith College","smith college","AMS Letter B"
"Michael Henle","michael henle","Emeritus, Oberlin College","oberlin college","AMS Letter B"
"Samuel Herman","samuel herman","New College of Florida","new college florida","AMS Letter B"
"Hamid Hezari","hamid hezari","UC Irvine","university of california irvine","AMS Letter B"
"Jairo Ivan Pena Hidalgo","jairo ivan pena hidalgo","FSU Student","florida state university","AMS Letter B"
"Vladimir Hinich","vladimir hinich","University of Haifa","university of haifa","AMS Letter B"
"Eriko Hironaka","eriko hironaka",NA,NA,"AMS Letter B"
"David Hoffman","david hoffman",NA,"stanford university","AMS Letter B"
"Jan Holly","jan holly","Colby College","colby college","AMS Letter B"
"Andrew Holt","andrew holt","Florida State College at Jacksonville","florida state college jacksonville","AMS Letter B"
"Ko Honda","ko honda","UCLA","university of california los angeles","AMS Letter B"
"Anna-Lena Horlemann","anna lena horlemann","St. Gallen, Switzerland",NA,"AMS Letter B"
"Joey Horn","joey horn",NA,NA,"AMS Letter B"
"Hugh Howards","hugh howards","Wake Forest University","wake forest university","AMS Letter B"
"Joshua Howie","joshua howie","University of California, Davis","university of california davis","AMS Letter B"
"Mark Hughes","mark hughes","Brigham Young University","brigham young university","AMS Letter B"
"Paul Humphreys","paul humphreys","University of Virginia","university of virginia","AMS Letter B"
"John Hunter","john hunter","UC Davis","university of california davis","AMS Letter B"
"Mee Seong Im","mee seong im","National Academy of Sciences,United States Military Academy and Army Research Laboratory","united states naval academy","AMS Letter B"
"Alexander Ioffe","alexander ioffe","Professor Emeritus, Technion, Israel","technion israel institute of technology","AMS Letter B"
"Nezam Iraniparast","nezam iraniparast","Western Kentucky University","western kentucky university","AMS Letter B"
"Ingrid Irmer","ingrid irmer","ICM SUSTech","sustech international center for mathematics","AMS Letter B"
"Alan Isaac","alan isaac","American University","american university","AMS Letter B"
"Joshua Isralowitz","joshua isralowitz","University at Albany (SUNY)","suny albany","AMS Letter B"
"James D Ivers","james d ivers","Eastern Michigan University","eastern michigan university","AMS Letter B"
"Krishnamurthy Iyer","krishnamurthy iyer",NA,NA,"AMS Letter B"
"Elham Izadi","elham izadi","UCSD Mathematics","university of california san diego","AMS Letter B"
"Ivan Izmestiev","ivan izmestiev","TU Wien","tu wien","AMS Letter B"
"William Jaco","william jaco","Oklahoma State University","oklahoma state university","AMS Letter B"
"Adam Jacob","adam jacob","UC Davis","university of california davis","AMS Letter B"
"Christina Jeffrey","christina jeffrey",NA,NA,"AMS Letter B"
"Shane Jensen","shane jensen",NA,NA,"AMS Letter B"
"Chad W Jessup","chad w jessup",NA,NA,"AMS Letter B"
"Svetlana Jitomirskaya","svetlana jitomirskaya","UC Irvine","university of california irvine","AMS Letter B"
"William Johnston","william johnston","Butler University","butler university","AMS Letter B"
"David Joyce","david joyce","Clark University","clark university","AMS Letter B"
"Aaron Kaestner","aaron kaestner","North Park University","north park university","AMS Letter B"
"Jeremy Kahn","jeremy kahn","Brown University","brown university","AMS Letter B"
"Uwe Kaiser","uwe kaiser","Boise State University","boise state university","AMS Letter B"
"Effie Kalfagianni","effie kalfagianni","Michigan State University","michigan state university","AMS Letter B"
"Prof. Patanjali Kambhampati","prof patanjali kambhampati","Department of Chemistry, McGill University","mcgill university","AMS Letter B"
"Deepak Kamlesh","deepak kamlesh","DPhil Candidate in Mathematics, University of Oxford, UK","university of oxford","AMS Letter B"
"David Kane","david kane","Harvard University","harvard university","AMS Letter B"
"Todd Kapitula","todd kapitula","Calvin University","calvin university","AMS Letter B"
"Michael Kapovich","michael kapovich","Distinguished Professor, University of California, Davis","university of california davis","AMS Letter B"
"Anton Kapustin","anton kapustin","California Institute of Technology","california institute of technology","AMS Letter B"
"David A. Kareken","david a kareken","Ph.D., Indiana University School of Medicine","indiana university","AMS Letter B"
"Svetlana Katok","svetlana katok","Penn State University","pennsylvania state university","AMS Letter B"
"Eric Katz","eric katz","The Ohio State University","ohio state university","AMS Letter B"
"Louis H Kauffman","louis h kauffman","Professor Emeritus of Mathematics, University of Illinois at Chicago","university of illinois chicago","AMS Letter B"
"Linda Keen Prof. Emerita","linda keen prof emerita","CUNY Graduate Center","city university of new york","AMS Letter B"
"Julia Kempe","julia kempe","New York University","new york university","AMS Letter B"
"Carlos Kenig","carlos kenig","University of Chicago","university of chicago","AMS Letter B"
"Shelly S Kennedy","shelly s kennedy","University of Oklahoma","university of oklahoma","AMS Letter B"
"Steve Kerckhoff","steve kerckhoff","Stanford","stanford university","AMS Letter B"
"Bruce Kessler","bruce kessler","Western Kentucky Uuniversity Mathematics","western kentucky university","AMS Letter B"
"Evgeniy Khain","evgeniy khain","Oakland University","oakland university","AMS Letter B"
"Parviz Khalili","parviz khalili",NA,NA,"AMS Letter B"
"Mizan R. Khan","mizan r khan","Professor, Eastern Connecticut State University","eastern connecticut state university","AMS Letter B"
"Michael Khanevsky","michael khanevsky","Technion - Israel's Institute of Technology","technion israel institute of technology","AMS Letter B"
"Konstantin Khanin","konstantin khanin","University of Toronto","university of toronto","AMS Letter B"
"Michael Khasin","michael khasin","SGT Inc.","sgt inc.","AMS Letter B"
"Mikhail Khenner","mikhail khenner","Western Kentucky University","western kentucky university","AMS Letter B"
"Boris Khesin","boris khesin","University of Toronto","university of toronto","AMS Letter B"
"Tanya Khovanova","tanya khovanova","MIT","massachusetts institute of technology","AMS Letter B"
"Keenan Kidwell","keenan kidwell","UT Austin","university of texas austin","AMS Letter B"
"James Kierstead","james kierstead","Victoria University of Wellington","victoria university of wellington","AMS Letter B"
"Thomas Kindred","thomas kindred","University of Nebraska-Lincoln","university of nebraska lincoln","AMS Letter B"
"Rob Kirby","rob kirby","UC Berkeley","university of california berkeley","AMS Letter B"
"Alexander Kirillov Jr","alexander kirillov jr","Chair, Math department, Stony Brook University","suny stony brook","AMS Letter B"
"Sergiu Klainerman","sergiu klainerman","Princeton University","princeton university","AMS Letter B"
"John R. Klein","john r klein","Wayne State University","wayne state university","AMS Letter B"
"Dmitry Kleinbock","dmitry kleinbock","Acting Chair, Department of Mathematics, Brandeis University","brandeis university","AMS Letter B"
"Alexander Kleshchev","alexander kleshchev","University of Oregon","university of oregon","AMS Letter B"
"E. Allen Knight","e allen knight","Spring Arbor University","spring arbor university","AMS Letter B"
"Thomas Koberda","thomas koberda","University of Virginia","university of virginia","AMS Letter B"
"Patrice Koehl","patrice koehl","UC Davis","university of california davis","AMS Letter B"
"Ilya Kofman","ilya kofman","CUNY","city university of new york","AMS Letter B"
"Oleg Kogan","oleg kogan","Cal Poly","california polytechnic state university san luis obispo","AMS Letter B"
"Alex Kontorovich","alex kontorovich","Rutgers University","rutgers university","AMS Letter B"
"Aryeh Kontorovich","aryeh kontorovich","Ben-Gurion University, Computer Science","ben gurion university","AMS Letter B"
"Vladimir Kontorovich","vladimir kontorovich","Department of Economics, Haverford College","haverford college","AMS Letter B"
"Ann E.K. Kosobud","ann ek kosobud","Ph.D., Indiana University School of Medicine","indiana university","AMS Letter B"
"David Kraines","david kraines","Duke University","duke university","AMS Letter B"
"Nicolai Krylov","nicolai krylov","University of Minnesota","university of minnesota","AMS Letter B"
"Peter Kuchment","peter kuchment","Texas A&M","texas a&m university","AMS Letter B"
"Nicholas Kuhn","nicholas kuhn","University of Virginia","university of virginia","AMS Letter B"
"Ramya Kumar","ramya kumar",NA,NA,"AMS Letter B"
"Dionne Kunkel","dionne kunkel","The George Washington University","george washington university","AMS Letter B"
"Vadym Kurylenko","vadym kurylenko","University of Hamburg","university of hamburg","AMS Letter B"
"Alfons Laarman","alfons laarman","Leiden University","leiden university","AMS Letter B"
"Laurent Lafleche","laurent lafleche","University of Texas at Austin","university of texas austin","AMS Letter B"
"Kevin Lamb","kevin lamb","University of the Pacific","university of the pacific","AMS Letter B"
"Michel L. Lapidus","michel lapidus","University of California, Riverside","university of california riverside","AMS Letter B"
"Christopher J. Larsen","christopher j larsen","Worcester Polytechnic Institute","worcester polytechnic institute","AMS Letter B"
"Kyle Larson","kyle larson","University of Georgia","university of georgia","AMS Letter B"
"Grant H Lathrom","grant h lathrom","Missouri Southern State University","missouri southern state university","AMS Letter B"
"Gregory F. Lawler","gregory lawler","University of Chicago","university of chicago","AMS Letter B"
"Ruth Lawrence-Naimark","ruth lawrence naimark","Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"David Layman","david layman","York College of Pennsylvania (adjunct)","york college pennsylvania","AMS Letter B"
"Sean Lawton","sean lawton","George Mason University","george mason university","AMS Letter B"
"Christophe Lecomte","christophe lecomte","member of the AMS",NA,"AMS Letter B"
"Michelle LeMasurier","michelle lemasurier","Hamilton College","hamilton college","AMS Letter B"
"Christopher J Leininger","christopher j leininger","University of Illinois","university of illinois urbana champaign","AMS Letter B"
"Mark Levi","mark levi","Penn State","pennsylvania state university","AMS Letter B"
"Nate Levi","nate levi","University of California Davis","university of california davis","AMS Letter B"
"Genadi Levin","genadi levin","The Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Michael Levitin","michael levitin","University of Reading","university of reading","AMS Letter B"
"Yehuda John Levy","yehuda john levy","University of Glasgow","university of glasgow","AMS Letter B"
"Azriel Levy","azriel levy","Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Erica Li","erica li",NA,NA,"AMS Letter B"
"Tao Li","tao li","Boston College","boston college","AMS Letter B"
"Anthony Licata","anthony licata","Australian National University","australian national university","AMS Letter B"
"Max Lieblich","max lieblich","University of Washington","university of washington","AMS Letter B"
"James Lin","james lin",NA,NA,"AMS Letter B"
"Nati Linial","nati linial","The Hebrew University","hebrew university of jerusalem","AMS Letter B"
"Benjamin Linowitz","benjamin linowitz","Oberlin College","oberlin college","AMS Letter B"
"Maria Lioudyno","maria lioudyno","University of California-Irvine","university of california irvine","AMS Letter B"
"Joseph Lipman","joseph lipman","Professor emeritus of Mathematics, Purdue University","purdue university","AMS Letter B"
"Max Lipton","max lipton","Cornell University","cornell university","AMS Letter B"
"Alexander Lisyansky","alexander lisyansky","Queens College of CUNY","city university of new york","AMS Letter B"
"Richard Litherland","richard litherland","Professor, Dept of Math, Louisiana State University","louisiana state university","AMS Letter B"
"Lance Littlejohn","lance littlejohn",NA,NA,"AMS Letter B"
"Charles Livingston","charles livingston","Indiana University Bloomington","indiana university","AMS Letter B"
"D.D. Long","dd long","UC Santa Barbara","university of california santa barbara","AMS Letter B"
"Vincent Longo","vincent longo","University of Nebraska-Lincoln","university of nebraska lincoln","AMS Letter B"
"John Lott","john lott","UC-Berkeley","university of california berkeley","AMS Letter B"
"Rohan Loveland","rohan loveland","Whitman College","whitman college","AMS Letter B"
"Monika Ludwig","monika ludwig","TU Wien","tu wien","AMS Letter B"
"Dan Lynch","dan lynch","Williams College","williams college","AMS Letter B"
"Misha Lyubich","misha lyubich","Stony Brook University","suny stony brook","AMS Letter B"
"Shiqian Ma","shiqian ma","UC Davis","university of california davis","AMS Letter B"
"Eric Mack","eric mack","Philosophy, Tulane University","tulane university","AMS Letter B"
"Blair F. Madore","blair f madore","SUNY Potsdam","suny potsdam","AMS Letter B"
"Francesco Maggi","francesco maggi","University of Texas at Austin","university of texas austin","AMS Letter B"
"Leonid Leonid Makar-Limanov","leonid makar limanov","Wayne State University","wayne state university","AMS Letter B"
"Peter Makienko","peter makienko","Instituto de Matematicas","instituto de matematicas","AMS Letter B"
"Fyodor Malikov","fedor malikov","University of Southern California","university of southern california","AMS Letter B"
"Michael Maller","michael j maller","Queens College CUNY (retired)","city university of new york","AMS Letter B"
"Vladimir Mandelshtam","vladimir mandelshtam","UC Irvine","university of california irvine","AMS Letter B"
"Fedor Manin","fedor manin","UCSB","university of california santa barbara","AMS Letter B"
"Benjamin Mann","benjamin mann",NA,NA,"AMS Letter B"
"Christopher Manon","christopher manon","University of Kentucky","university of kentucky","AMS Letter B"
"Cy Maor","cy maor","Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Raffaele Marcovecchio","raffaele marcovecchio","Italy",NA,"AMS Letter B"
"Luana Maroja","luana maroja","Williams College","williams college","AMS Letter B"
"William J. Martin","william j martin","Worcester Polytechnic Institute","worcester polytechnic institute","AMS Letter B"
"Andrei Martinez-Finkelshtein","andrei martinez finkelshtein","Baylor University","baylor university","AMS Letter B"
"Howard Masur","howard masur","University of Chicago","university of chicago","AMS Letter B"
"Jasmin Matz","jasmin matz","U Copenhagen","university of copenhagen","AMS Letter B"
"Ben McCarty","ben mccarty","The University of Memphis","university of memphis","AMS Letter B"
"Michael McCooey","michael mccooey","Franklin & Marshall College","franklin & marshall college","AMS Letter B"
"Duncan McCoy","duncan mccoy","Universite du Quebec a Montreal","universite du quebec a montreal","AMS Letter B"
"Dusa McDuff","dusa mcduff","Barnard College","barnard college","AMS Letter B"
"James McKernan","james mckernan","UCSD","university of california san diego","AMS Letter B"
"William H. Meeks III","william meeks","Professor of Mathematic, UMass Amherst","university of massachusetts amherst","AMS Letter B"
"Ari Meerson","ari meerson","Galilee Research Institute","galilee research institute","AMS Letter B"
"Baruch Meerson","baruch meerson","the Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Rick Mehta","rick mehta","Former Professor, Acadia University, Canada","acadia university","AMS Letter B"
"Moo Mele","moo mele","University of Delhi","university of delhi","AMS Letter B"
"Anton Mellit","anton mellit","University of Vienna","university of vienna","AMS Letter B"
"Paul Melvin","paul melvin","Bryn Mawr College","bryn mawr college","AMS Letter B"
"William W Menasco","william menasco","University at Buffalo-SUNY","suny buffalo","AMS Letter B"
"Dean Menezes","dean menezes","UCLA","university of california los angeles","AMS Letter B"
"Loic Merel","loic merel","IMJ-PRG Universite de Paris","imj prg universite de paris","AMS Letter B"
"William Messing","william messing","School of Mathematics University of Minnesota","university of minnesota","AMS Letter B"
"Ina Mette","ina mette",NA,NA,"AMS Letter B"
"David A. Meyer","david a meyer","UC San Diego","university of california san diego","AMS Letter B"
"Nicholas Meyer","nicholas meyer","University of Nebraska - Lincoln","university of nebraska lincoln","AMS Letter B"
"Juan Migliore","juan migliore","University of Notre Dame","university of notre dame","AMS Letter B"
"Michael Mihalik","michael mihalik","Professor of Mathematics, Vanderbilt University","vanderbilt university","AMS Letter B"
"Claudia Miller","claudia miller","Syracuse University","syracuse university","AMS Letter B"
"Steven J Miller","steven j miller","Williams College","williams college","AMS Letter B"
"Willard Miller","willard miller","University of Minnesota","university of minnesota","AMS Letter B"
"Chris Miller","chris miller","Ohio State University","ohio state university","AMS Letter B"
"Kenneth C Millett","kenneth c millett","University of California, Santa Barbara","university of california santa barbara","AMS Letter B"
"Michael Mills","michael mills","Psychology Department, Loyola Marymount University","loyola marymount university","AMS Letter B"
"Jan Minac","jan minac","Western University","western university","AMS Letter B"
"Guido Mislin","guido mislin","Professor Emeritus ETH Zurich","eth zurich","AMS Letter B"
"Dorina Mitrea","dorina mitrea","Baylor University","baylor university","AMS Letter B"
"Boris Mityagin","boris mityagin","Professor Emeritus, AMS Fellow; Ohio State University","ohio state university","AMS Letter B"
"Boughalem Mohammed","boughalem mohammed","PhD student university Regensburg","university of regensburg","AMS Letter B"
"Aydin Mohseni","aydin mohseni",NA,NA,"AMS Letter B"
"Monica Montano","monica montano","Case Western Reserve University","case western reserve university","AMS Letter B"
"Richard Montgomery","richard montgomery","UC Santa Cruz, distinguished professor","university of california santa cruz","AMS Letter B"
"Warren S. Moore","warren s moore","III, Newberry College","newberry college","AMS Letter B"
"John Morgan","john morgan","Professor Emeritus, Columbia University","columbia university","AMS Letter B"
"Prof. Yoav Moriah","prof yoav moriah","Dept of Math, Technion Israel","technion israel institute of technology","AMS Letter B"
"Da'Shawn M. Morris","da'shawn m morris","American Soldier",NA,"AMS Letter B"
"Evan D. Morris","evan d morris","Prof. Radiology and Biomedical Imaging,Biomedical Engineering, Pyschiatry, Yale University","yale university","AMS Letter B"
"Henri Moscovici","henri moscovici","Ohio State University","ohio state university","AMS Letter B"
"Jean-Christophe Mourrat","jean christophe mourrat","Courant Institute, New York University","new york university","AMS Letter B"
"Tomasz S. Mrowka","thomasz mrowka","MIT","massachusetts institute of technology","AMS Letter B"
"Sujoy Mukherjee","sujoy mukherjee","The Ohio State University","ohio state university","AMS Letter B"
"David Mumford","david mumford","Emeritus Professor, Harvard and Brown Universities","brown university","AMS Letter B"
"Julien Murzi","julien murzi","University of Salzburg","university of salzburg","AMS Letter B"
"Alexander Nabutovsky","alexander nabutovsky","Professor of Mathematics, University of Toronto","university of toronto","AMS Letter B"
"Bruno Nachtergaele","bruno nachtergaele","University of California, Davis","university of california davis","AMS Letter B"
"Ramin Naimi","ramin naimi","Occidental College","occidental college","AMS Letter B"
"Fedor Nazarov","fedor nazarov","Kent State University","kent state university","AMS Letter B"
"Nikita Nekrasov","nikita nekrasov","Simons Center for Geometry and Physics, Stony Brook University","suny stony brook","AMS Letter B"
"Yury Neretin","yury neretin","Pauli Institute, Vienna; Moscow State University","pauli institute","AMS Letter B"
"Walter Neumann","walter neumann","Barnard College, Columbia University","barnard college","AMS Letter B"
"Andre Neves","andre neves","University of Chicago","university of chicago","AMS Letter B"
"Eran Nevo","eran nevo","Hebrew University","hebrew university of jerusalem","AMS Letter B"
"Nicholas Nguyen","nicholas nguyen","University of Kentucky","university of kentucky","AMS Letter B"
"Dr. Ngoc Nguyen","dr ngoc nguyen","Western Kentucky University","western kentucky university","AMS Letter B"
"Yi Ni","yi ni","California Institute of Technology","california institute of technology","AMS Letter B"
"Dennis Nieman","dennis nieman",NA,NA,"AMS Letter B"
"Arjun Nigam","arjun nigam",NA,NA,"AMS Letter B"
"Barbara Nimershiem","barbara nimershiem","Franklin & Marshall College","franklin & marshall college","AMS Letter B"
"Leonard J. Nissim","leonard j nissim","Fordham University (retired)","fordham university","AMS Letter B"
"Joao Nogueira","joao nogueira","University of Coimbra","university of coimbra","AMS Letter B"
"Emily Norton","emily norton","TU Kaiserslautern","tu kaiserslautern","AMS Letter B"
"Jonathan Novak","jonathan novak","UC San Diego","university of california san diego","AMS Letter B"
"Dmitry Novikov","dmitry novikov","Weizmann Institute of Science","weizmann institute of science","AMS Letter B"
"Alexei Novikov","alexei novikov","Penn State University","pennsylvania state university","AMS Letter B"
"Alan J. Nussbaum","alan j nussbaum","Cornell University","cornell university","AMS Letter B"
"Kevin O'Bryant","kevin o'bryant","CUNY Staten Island and The Graduate Center","city university of new york","AMS Letter B"
"Serge Ochanine","serge ochanine","University of Kentucky","university of kentucky","AMS Letter B"
"Crichton Ogle","crichton ogle","Ohio State University","ohio state university","AMS Letter B"
"Kasso A Okoudjou","kasso okoudjou","UMD/MIT","university of marlyand college park","AMS Letter B"
"Andrei Okounkov","andrei okounkov","Columbia University","columbia university","AMS Letter B"
"Michael Olinick","michael olinick","Middlebury College","middlebury college","AMS Letter B"
"Ebenezer de Oliveira","ebenezer de oliveira","Ohio State University","ohio state university","AMS Letter B"
"John Oprea","john oprea","Professor Emeritus, Cleveland State University","cleveland state university","AMS Letter B"
"Matthew Osborne","matthew osborne","Ohio State University","ohio state university","AMS Letter B"
"Victor Ostrik","victor ostrik","University of Oregon","university of oregon","AMS Letter B"
"Valentin Ovsienko","valentin ovsienko","CNRS, France","cnrs","AMS Letter B"
"Nicholas Owad","nicholas owad","Colby College","colby college","AMS Letter B"
"Peter Ozsvath","peter ozsvath","Princeton University","princeton university","AMS Letter B"
"Peter Y. Paik","peter y paik","Yonsei University","yonsei university","AMS Letter B"
"George Pappas","george pappas","Michigan State University","michigan state university","AMS Letter B"
"Ziho Park","ziho park","University of Chicago","university of chicago","AMS Letter B"
"Jason Parsley","jason parsley","Wake Forest University","wake forest university","AMS Letter B"
"Ori Parzanchevski","ori parzanchevski","Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Yekaterina Pavlova","yekaterina pavlova","Palomar College","palomar college","AMS Letter B"
"Natasa Pavlovic","natasa pavlovic","University of Texas at Austin","university of texas austin","AMS Letter B"
"Casey Perin","casey perin","University of California, Irvine","university of california irvine","AMS Letter B"
"Peter Perry","peter perry","University of Kentucky","university of kentucky","AMS Letter B"
"Laura J. Person","laura j person","State University of New York-Potsdam","suny potsdam","AMS Letter B"
"Timothy Perutz","timothy perutz","UT Austin","university of texas austin","AMS Letter B"
"Yakov Pesin","yakov pesin","Penn State University","pennsylvania state university","AMS Letter B"
"Jonathon Peterson","jonathon peterson","Purdue University","purdue university","AMS Letter B"
"Ina Petkova","ina petkova","Dartmouth College","dartmouth college","AMS Letter B"
"Yehuda Pinchover","yehuda pinchover","Technion - Israel Institute of Technology","technion israel institute of technology","AMS Letter B"
"Ross G. Pinsky","ross g pinsky","Department of Mathematics, Technion-Israel Institute of Technology","technion israel institute of technology","AMS Letter B"
"Daria Poliakova","daria poliakova","Copenhagen University","university of copenhagen","AMS Letter B"
"Carl Pomerance","carl pomerance","Dartmouth College Emeritus","dartmouth college","AMS Letter B"
"Wai Yan Pong","wai yan pong","CSU Dominguez Hills","california state university dominguez hills","AMS Letter B"
"Sorin Popa","sorin popa","UCLA","university of california los angeles","AMS Letter B"
"Serguei Popov","serguei popov","University of Campinas","university of campinas","AMS Letter B"
"Erik Postma","erik postma","Maplesoft","maplesoft","AMS Letter B"
"Benedikt Potscher","benedikt potscher","University of Vienna","university of vienna","AMS Letter B"
"Leonid Potyagailo","leonid potyagailo","University of Lille, France","university of lille","AMS Letter B"
"Filip Pramenkovic","filip pramenkovic","Univerza na Primorskem","univerza na primorskem","AMS Letter B"
"Adam Prenosil","adam prenosil","Department of Mathematics, Vanderbilt University","vanderbilt university","AMS Letter B"
"Kenneth Price","kenneth price","University of Wisconsin Oshkosh","university of wisconsin oshkosh","AMS Letter B"
"Marina Prokhorova","marina prokhorova","Technion - Israel Institute of Technology","technion israel institute of technology","AMS Letter B"
"Jozef H. Przytycki","jozef przytycki","George Washington University","george washington university","AMS Letter B"
"Elbridge Gerry Puckett","elbridge gerry puckett","Full Professor, Department of Mathematics, UC Davis","university of california davis","AMS Letter B"
"Joshua Pughe-Sanford","joshua pughe sanford","Georgia Tech","georgia institute of technology","AMS Letter B"
"Jonathan Pyle","jonathan pyle",NA,NA,"AMS Letter B"
"You Qi","you qi","University of Virginia","university of virginia","AMS Letter B"
"Stephen Quilley","stephen quilley","SERS, University of Waterloo","university of waterloo","AMS Letter B"
"Maksym Radziwill","maksym radziwill","Caltech","california institute of technology","AMS Letter B"
"Shawn Rafalski","shawn rafalski","Fairfield University","fairfield university","AMS Letter B"
"Surjeet Rajendran","surjeet rajendran",NA,"johns hopkins university","AMS Letter B"
"Zoi Rapti","zoi rapti","University of Illinois, Urbana-Champaign","university of illinois urbana champaign","AMS Letter B"
"Alexander Rashkovskii","alexander rashkovskii","University of Stavangervanger","university of stavanger","AMS Letter B"
"Sarah Dean Rasmussen","sarah dean rasmussen","University of Cambridge","university of cambridge","AMS Letter B"
"Jacob Rasmussen","jacob rasmussen","Cambridge","university of cambridge","AMS Letter B"
"John Ratcliffe","john ratcliffe","Department of Mathematics, Vanderbilt University","vanderbilt university","AMS Letter B"
"Animesh Ray","animesh ray","Professor, Keck Graduate Institute","keck graduate institute","AMS Letter B"
"Margaret A. Readdy","margaret a readdy","University of Kentucky","university of kentucky","AMS Letter B"
"Robert Redfield","robert redfield",NA,NA,"AMS Letter B"
"Charles Reichhardt","charles reichhardt","Los Alamos National Laboratory","los alamos national laboratory","AMS Letter B"
"Alan Reid","alan reid","Rice University","rice university","AMS Letter B"
"Ben Reid","ben reid","Lander University","lander university","AMS Letter B"
"Hanna Reisler","hanna reisler","Professor of Chemistry, USC","university of southern california","AMS Letter B"
"Kui Ren","kui ren","Columbia University/University of Texas at Austin","columbia university","AMS Letter B"
"Nicolai Reshetikhin","nicolai reshetikhin","University of California, Berkeley","university of california berkeley","AMS Letter B"
"Vladimir Retakh","vladimir retakh","Rutgers University","rutgers university","AMS Letter B"
"Ilya Reviakine","ilya reviakine","University of Washington - Seattle","university of washington","AMS Letter B"
"Lev Reyzin","lev reyzin","Department of Mathematics (MSCS), University of Illinois at Chicago","university of illinois chicago","AMS Letter B"
"Brendon Rhoades","brendon rhoades","UC San Diego","university of california san diego","AMS Letter B"
"Henry Ricardo","henry ricardo","City University of New York (Retired)","city university of new york","AMS Letter B"
"Donald Richards","donald richards","Penn State University","pennsylvania state university","AMS Letter B"
"Tom Richmond","tom richmond","Western Kentucky University","western kentucky university","AMS Letter B"
"Bastian Rieck","bastian rieck","ETH Zurich","eth zurich","AMS Letter B"
"Hans Riess","hans riess","University of Pennsylvania","university of pennsylvania","AMS Letter B"
"Timothy Riley","timothy riley","Cornell University","cornell university","AMS Letter B"
"Igor Rivin","igor rivin","Temple University","temple university","AMS Letter B"
"Neil Robertson","neil robertson","Emeritus Professor, Ohio State University","ohio state university","AMS Letter B"
"Altha Rodin","altha rodin","University of Texas at Austin","university of texas austin","AMS Letter B"
"Gregory Rodin","gregory rodin","Oden Institute, University of Texas at Austin","university of texas austin","AMS Letter B"
"Federico Rodriguez Hertz","federico rodriguez hertz","Penn State","pennsylvania state university","AMS Letter B"
"Casey Rodriguez","casey rodriguez","Massachusetts Institute of Technology","massachusetts institute of technology","AMS Letter B"
"Claude Roger","claude roger","Pr Emeritus, Universite de Lyon","universite de lyon","AMS Letter B"
"Dan Romik","dan romik","UC Davis","university of california davis","AMS Letter B"
"Jason Rosenhouse","jason rosenhouse","James Madison University","james madison university","AMS Letter B"
"Joachim Rosenthal","joachim rosenthal","University of Zurich","university of zurich","AMS Letter B"
"Hugo Rossi","hugo rossi","Mathematics, University of Utah","university of utah","AMS Letter B"
"Paolo Rossi","paolo rossi","Universita degli Studi di Padova","university of padova","AMS Letter B"
"Raphael Rouquier","raphael rouquier","UCLA","university of california los angeles","AMS Letter B"
"Colin Rourke","colin rourke","Emeritus Professor of Mathematics, University of Warwick","university of warwick","AMS Letter B"
"Lev Rozansky","lev rozansky","Professor, Department of Mathematics, University of North Carolina at Chapel Hill","university of north carolina chapel hill","AMS Letter B"
"Daniel Ruberman","daniel ruberman","Brandeis University","brandeis university","AMS Letter B"
"Volodya Rubtsov","volodya rubtsov","Universite d'Angers (France)","universite d'angers","AMS Letter B"
"Mark Rudelson","mark rudelson","University of Michigan","university of michigan","AMS Letter B"
"Lee Rudolph","lee rudolph","Clark University","clark university","AMS Letter B"
"Andrey Rukhin","andrey rukhin",NA,NA,"AMS Letter B"
"David B Rush","david b rush",NA,NA,"AMS Letter B"
"Lorenzo Sadun","lorenzo sadun","University of Texas at Austin","university of texas austin","AMS Letter B"
"Gershon Sageev","gershon sageev","UB math. dept.","suny buffalo","AMS Letter B"
"Abhishek Saha","abhishek saha","Reader in Mathematics at Queen Mary University of London","queen mary university","AMS Letter B"
"Masahico Saito","masahico saito","USF","university of south florida","AMS Letter B"
"Yiannis Sakellaridis","yiannis sakellaridis","Johns Hopkins University","johns hopkins university","AMS Letter B"
"Michael Saks","michael saks","Rutgers University","rutgers university","AMS Letter B"
"Andrew Salmon","andrew salmon","MIT","massachusetts institute of technology","AMS Letter B"
"Philip Carl Salzman","philip carl salzman","Emeritus Professor of Anthropology, McGill University","mcgill university","AMS Letter B"
"Wendy Sandler","wendy sandler","University of Haifa","university of haifa","AMS Letter B"
"Mark Sapir","mark sapir","Vanderbilt University","vanderbilt university","AMS Letter B"
"Martin Scharlemann","martin scharlemann","University of California at Santa Barbara","university of california santa barbara","AMS Letter B"
"B. Schaum","b schaum","USF","university of south florida","AMS Letter B"
"Michael Schein","michael schein","Bar-Ilan University","bar ilan university","AMS Letter B"
"Hal Schenck","hal schenck","Department of Mathematics, Auburn University","auburn university","AMS Letter B"
"Wilfried Schmid","wilfried schmid","Harvard University","harvard university","AMS Letter B"
